Hotel_Name,Rating,Comments,No_of_reviews,Price,Gst
"Country Inn &amp; Suites by Radisson, Gurugram Sector 12",7.3,Good,"1,641 reviews","₹46,000","+₹5,520 taxes and charges"
DLF Club 5 - Golf Course Road,7.8,Good,59 reviews,"₹48,053","+₹5,766 taxes and charges"
Lemon Tree Premier City Center,7.0,Good,151 reviews,"₹50,114","+₹11,927 taxes and charges"
Golden Tulip Gurgaon Sector 29,7.3,Good,177 reviews,"₹52,014","+₹8,842 taxes and charges"
"Lemon Tree Premier 2, Gurugram",7.3,Good,75 reviews,"₹52,074","+₹12,394 taxes and charges"
Ahuja Residency DLF Phase 2,7.1,Good,24 reviews,"₹52,798","+₹6,336 taxes and charges"
Aapno Ghar Resort &amp; Amusement Park,8.1,Very Good,84 reviews,"₹57,000","+₹6,840 taxes and charges"
BedChambers Serviced Apartments - Cyber City,8.0,Very Good,103 reviews,"₹57,720",Additional charges may apply
"Nemesia City Center - Gurugram, Sector 29",7.8,Good,514 reviews,"₹58,313","+₹6,998 taxes and charges"
1BHK Serviced Apartments near Artemis Hospital,9.2,Wonderful,20 reviews,"₹59,200",Additional charges may apply
AIR by Ahuja Residences,8.3,Very Good,217 reviews,"₹62,844","+₹11,312 taxes and charges"
"Lemon Tree Hotel, Udyog Vihar, Gurugram",7.0,Good,10 reviews,"₹85,109","+₹20,256 taxes and charges"
"BedChambers Serviced Apartments, MG ROAD",8.1,Very Good,138 reviews,"₹87,100",Additional charges may apply
Karma Chalets Gurgaon,8.3,Very Good,110 reviews,"₹108,000","+₹19,440 taxes and charges"
"Hostie Chinar Haveli - Heritage home with Pool, Gurgaon",10,Exceptional,1 review,"₹133,500","+₹24,030 taxes and charges"
